iter	Passed	Remaining
0	148	148654
1	149	74833
2	151	50213
3	152	37912
4	153	30514
5	154	25572
6	155	22059
7	156	19437
8	158	17401
9	158	15738
10	159	14384
11	160	13247
12	161	12297
13	162	11469
14	164	10793
15	165	10195
16	167	9686
17	168	9211
18	169	8775
19	170	8366
20	171	8004
21	172	7676
22	173	7373
23	174	7096
24	175	6840
25	176	6602
26	177	6386
27	178	6184
28	179	5997
29	180	5825
30	181	5683
31	183	5537
32	184	5393
33	185	5258
34	185	5124
35	186	4997
36	187	4876
37	188	4762
38	188	4656
39	189	4554
40	190	4457
41	191	4372
42	192	4285
43	193	4201
44	194	4124
45	195	4054
46	196	3981
47	197	3913
48	198	3846
49	199	3781
50	199	3719
51	201	3665
52	202	3611
53	203	3559
54	204	3506
55	204	3454
56	205	3404
57	206	3355
58	207	3308
59	208	3261
60	209	3221
61	210	3182
62	211	3145
63	212	3109
64	213	3071
65	214	3034
66	215	2999
67	216	2963
68	217	2929
69	217	2895
70	218	2862
71	219	2829
72	220	2797
73	221	2769
74	222	2741
75	223	2714
76	224	2689
77	225	2664
78	226	2639
79	227	2616
80	228	2591
81	229	2566
82	229	2537
83	230	2512
84	231	2488
85	231	2465
86	232	2443
87	233	2421
88	234	2401
89	235	2380
90	236	2359
91	237	2340
92	238	2322
93	239	2306
94	240	2294
95	242	2279
96	243	2262
97	243	2244
98	244	2227
99	245	2210
100	246	2193
101	247	2176
102	248	2159
103	248	2143
104	249	2127
105	250	2111
106	251	2095
107	251	2080
108	252	2066
109	253	2054
110	255	2042
111	256	2032
112	257	2019
113	258	2006
114	258	1992
115	259	1980
116	260	1965
117	261	1953
118	262	1940
119	262	1928
120	263	1915
121	264	1902
122	265	1890
123	265	1878
124	266	1866
125	267	1855
126	268	1842
127	268	1831
128	269	1821
129	270	1812
130	271	1802
131	272	1793
132	273	1783
133	274	1773
134	275	1762
135	276	1754
136	277	1745
137	277	1735
138	278	1725
139	279	1716
140	280	1706
141	280	1695
142	281	1686
143	282	1677
144	282	1667
145	283	1658
146	284	1651
147	285	1645
148	287	1639
149	288	1633
150	289	1627
151	290	1619
152	291	1612
153	291	1604
154	292	1595
155	293	1587
156	294	1579
157	294	1571
158	295	1563
159	296	1555
160	296	1546
161	297	1539
162	298	1531
163	299	1524
164	300	1518
165	301	1513
166	302	1506
167	303	1501
168	303	1494
169	304	1488
170	305	1482
171	306	1476
172	307	1470
173	308	1463
174	309	1457
175	309	1451
176	310	1444
177	311	1437
178	312	1431
179	312	1424
180	313	1418
181	314	1411
182	315	1406
183	316	1402
184	317	1396
185	317	1391
186	318	1385
187	319	1379
188	320	1373
189	320	1367
190	321	1361
191	322	1356
192	322	1350
193	323	1344
194	324	1338
195	325	1333
196	325	1327
197	326	1322
198	327	1317
199	327	1311
200	328	1306
201	329	1301
202	330	1296
203	331	1294
204	332	1290
205	333	1285
206	334	1280
207	334	1275
208	335	1270
209	336	1265
210	337	1260
211	337	1255
212	338	1250
213	339	1245
214	339	1240
215	340	1235
216	341	1231
217	341	1226
218	342	1221
219	343	1216
220	343	1212
221	344	1208
222	345	1204
223	346	1201
224	347	1197
225	348	1193
226	349	1189
227	349	1184
228	350	1180
229	351	1176
230	352	1172
231	352	1167
232	353	1163
233	354	1159
234	354	1155
235	355	1151
236	356	1147
237	357	1143
238	357	1138
239	358	1134
240	359	1130
241	359	1127
242	360	1123
243	361	1120
244	362	1116
245	363	1113
246	363	1109
247	364	1105
248	365	1101
249	365	1097
250	366	1093
251	367	1090
252	367	1086
253	368	1082
254	369	1079
255	370	1075
256	370	1071
257	371	1068
258	372	1064
259	372	1061
260	373	1057
261	374	1054
262	375	1051
263	376	1049
264	377	1046
265	378	1043
266	379	1041
267	380	1038
268	381	1035
269	381	1032
270	382	1029
271	383	1026
272	384	1023
273	385	1020
274	386	1018
275	387	1015
276	387	1012
277	388	1009
278	389	1006
279	390	1003
280	391	1001
281	392	998
282	393	996
283	394	993
284	394	990
285	395	987
286	396	985
287	397	982
288	398	979
289	399	977
290	400	974
291	400	971
292	401	968
293	402	965
294	402	963
295	403	960
296	404	957
297	405	954
298	406	951
299	407	949
300	407	947
301	408	944
302	409	941
303	410	938
304	410	936
305	411	933
306	412	930
307	412	927
308	413	924
309	414	922
310	414	919
311	415	916
312	416	913
313	417	911
314	417	908
315	418	905
316	419	903
317	419	900
318	420	898
319	421	896
320	422	894
321	423	892
322	424	889
323	425	887
324	425	884
325	426	882
326	427	879
327	428	877
328	428	874
329	429	871
330	430	869
331	430	866
332	431	864
333	432	861
334	432	859
335	433	856
336	434	854
337	434	851
338	435	849
339	436	848
340	437	846
341	438	844
342	439	841
343	440	839
344	441	837
345	441	834
346	442	832
347	443	830
348	443	827
349	444	825
350	445	823
351	445	820
352	446	818
353	447	816
354	447	813
355	448	811
356	449	809
357	449	806
358	450	804
359	451	803
360	453	801
361	453	800
362	454	798
363	455	796
364	456	794
365	457	792
366	458	790
367	459	788
368	460	786
369	460	784
370	461	782
371	462	780
372	463	778
373	464	776
374	464	774
375	465	772
376	466	771
377	467	769
378	468	768
379	469	766
380	470	764
381	471	762
382	471	760
383	472	758
384	473	756
385	474	754
386	474	752
387	475	750
388	476	747
389	476	745
390	477	743
391	478	741
392	478	739
393	479	737
394	480	735
395	480	733
396	482	732
397	483	731
398	484	729
399	485	727
400	485	725
401	486	723
402	487	721
403	487	719
404	488	717
405	489	715
406	489	713
407	490	711
408	491	710
409	492	708
410	492	706
411	493	704
412	494	702
413	494	700
414	495	698
415	496	697
416	497	695
417	498	694
418	499	692
419	500	691
420	501	689
421	502	687
422	503	686
423	504	685
424	505	684
425	506	682
426	507	680
427	508	679
428	509	678
429	510	676
430	511	675
431	512	673
432	513	672
433	514	670
434	515	669
435	516	667
436	517	666
437	518	664
438	518	663
439	519	661
440	520	660
441	521	658
442	522	656
443	523	655
444	523	653
445	524	651
446	525	649
447	526	648
448	526	646
449	527	645
450	528	643
451	529	642
452	530	640
453	531	639
454	532	637
455	533	636
456	534	634
457	534	633
458	535	631
459	536	629
460	537	628
461	538	626
462	539	625
463	540	624
464	541	622
465	542	621
466	543	620
467	544	618
468	545	617
469	546	616
470	547	615
471	548	614
472	550	612
473	550	611
474	551	609
475	552	608
476	553	606
477	553	604
478	554	603
479	555	601
480	555	599
481	556	598
482	558	597
483	558	595
484	559	594
485	560	592
486	561	590
487	561	589
488	562	587
489	563	586
490	563	584
491	564	582
492	565	581
493	565	579
494	566	578
495	567	576
496	567	574
497	568	573
498	569	571
499	569	569
500	570	568
501	571	566
502	572	565
503	573	564
504	574	563
505	575	561
506	575	559
507	576	558
508	577	556
509	577	555
510	578	553
511	579	552
512	580	550
513	580	549
514	581	547
515	582	546
516	583	544
517	583	543
518	584	541
519	585	540
520	585	538
521	586	537
522	587	535
523	588	534
524	589	533
525	590	532
526	591	530
527	592	529
528	593	528
529	593	526
530	594	525
531	595	523
532	596	522
533	596	520
534	597	519
535	598	517
536	599	516
537	599	515
538	600	513
539	601	512
540	602	510
541	603	510
542	604	508
543	605	507
544	606	505
545	606	504
546	607	503
547	608	501
548	609	500
549	609	498
550	610	497
551	611	495
552	611	494
553	612	493
554	613	491
555	613	490
556	614	488
557	615	487
558	615	485
559	616	484
560	617	483
561	618	482
562	619	480
563	620	479
564	621	478
565	622	477
566	623	475
567	624	474
